Omni Los Angeles Hotel at California Plaza		2013-03-13	5	Definitely my new favorite place to stay in downtown LA. very nice rooms with an efficient staff and quick valet team.   	<span itemprop="streetAddress">251 South Olive Street, 251 South Olive Street, </span><span itemprop="addressLocality">Los Angeles</span>, <span itemprop="addressRegion">CA</span> <span itemprop="postalCode">90012</span>
Omni Los Angeles Hotel at California Plaza		2013-02-08	3	The rooms are poorly designed. Not enough lighting, and no lights near the closet or dresser, which caused for some difficulty in selecting my clothes. -newline-  -newline- The bathroom is large enough but there is zero counter space for toiletries and no place to hang your towel near the shower. So I had a sopping wet experience out of the shower to the towel bar. -newline-  -newline- The closet bar came up to about .3 ft so that meant my dresses and long coat had to be draped over a chair. Not sure the thought behind that design. Besides, other than the hooks on the inside bathroom door, where the robes were smartly being advertised for purchase, there were no other hooks in the room. -newline-  -newline- Overall, the lobby is nice, but this hotel missed some basic, but important details that left me dissatisfied. -newline- And for the price....this experience really was annoying.	<span itemprop="streetAddress">251 South Olive Street, 251 South Olive Street, </span><span itemprop="addressLocality">Los Angeles</span>, <span itemprop="addressRegion">CA</span> <span itemprop="postalCode">90012</span>
Omni Los Angeles Hotel at California Plaza		2013-01-19	4	My stay here at the Omni Hotel was amazing. I'll definitely come back whenever I'm in la. The staff are extremely nice and helpful   	<span itemprop="streetAddress">251 South Olive Street, 251 South Olive Street, </span><span itemprop="addressLocality">Los Angeles</span>, <span itemprop="addressRegion">CA</span> <span itemprop="postalCode">90012</span>
Omni Los Angeles Hotel at California Plaza		2013-01-01	3	The location of the hotel is good, it was in the middle of everything, it seems like it only took 15 mins to get to anywhere i needed to go. the staff are good.. the room service however, i was not impressed.. the first night we stay there, we order breakfast in the morning and it was good. soo we decided to order again, so in the middle of buttering my break my boyfriend notice that the bread has mold on it.. thats not what i was expecting from the 4 star hotel.	<span itemprop="streetAddress">251 South Olive Street, 251 South Olive Street, </span><span itemprop="addressLocality">Los Angeles</span>, <span itemprop="addressRegion">CA</span> <span itemprop="postalCode">90012</span>
Omni Los Angeles Hotel at California Plaza		2012-12-21	1	Everything was OK but this guy at front desk (12/19/12 morning) telling me what to do with my credit card at the check-out. I spent almost 3,000 in LA on gifts and tours using my credit card, the same I used when checking-in when I realized I was close to my credit limit I went the night before leaving town to change the card on file just to be sure and do not get any fee for exceeding my credit line, I gave them my debit card and told them to please do not charge anything else to my credit card, not even the $40 dollars per day for parking. Next day when got the final invoice I realized they actually did charge my credit card in one of the two rooms. I went to front desk to fix the problem asking what should I do if the bank charges me for exceed the limit on my credit card and this "employee" instead of yes we made a mistake we will cancel the charge to you credit card and will charge your debit card and if there is any fee (usually $35) we will credit it back and sorry for the inconvenience... He started to raise his voice saying well, we charge only one of the rooms but it works in both ways you "should not leave a card without funds on file" obviously everybody on the line was listening, you may understand how I felt, I raised my voice too and he just typed something in the computer and with an arrogant tone said I just canceled the charges to one of the rooms, that will be "enough" to cover any fees from your bank...It was like he was giving me charity or something, I just left. REALLY BAD EXPERIENCE!	<span itemprop="streetAddress">251 South Olive Street, 251 South Olive Street, </span><span itemprop="addressLocality">Los Angeles</span>, <span itemprop="addressRegion">CA</span> <span itemprop="postalCode">90012</span>
Omni Los Angeles Hotel at California Plaza		2012-12-14	5	The staff at the Omni were great. They made my family feel so welcomed. This was my first time to LA so I wasn't familiar with the area but the Concierge was able to give great information on tours, sites and restaurants. Also, the room was great...it was a perfect size for 3 people, the view was awesome and it was so clean. The only complaint was with room service. The food from the overnight menu was great but dinner was not good at all.	<span itemprop="streetAddress">251 South Olive Street, 251 South Olive Street, </span><span itemprop="addressLocality">Los Angeles</span>, <span itemprop="addressRegion">CA</span> <span itemprop="postalCode">90012</span>
Omni Los Angeles Hotel at California Plaza		2012-11-23	4	staff were great. nickle and dime on everything unacceptable though. also parking not ideal   	<span itemprop="streetAddress">251 South Olive Street, 251 South Olive Street, </span><span itemprop="addressLocality">Los Angeles</span>, <span itemprop="addressRegion">CA</span> <span itemprop="postalCode">90012</span>
Omni Los Angeles Hotel at California Plaza		2012-11-23	3	almost every single stuff should be paid even a bottle of water.   	<span itemprop="streetAddress">251 South Olive Street, 251 South Olive Street, </span><span itemprop="addressLocality">Los Angeles</span>, <span itemprop="addressRegion">CA</span> <span itemprop="postalCode">90012</span>
Omni Los Angeles Hotel at California Plaza		2012-11-21	4	Check in and check out were quick and easy. -newline- I didn't use it much but TV was not HD.   	<span itemprop="streetAddress">251 South Olive Street, 251 South Olive Street, </span><span itemprop="addressLocality">Los Angeles</span>, <span itemprop="addressRegion">CA</span> <span itemprop="postalCode">90012</span>
Omni Los Angeles Hotel at California Plaza		2012-09-11	4	Very nice hotel but location was not so convenient; had to walk a lot or ask for hotel transportation which takes sometimes long, to get to areas of restaurants, shopping, etc.   	<span itemprop="streetAddress">251 South Olive Street, 251 South Olive Street, </span><span itemprop="addressLocality">Los Angeles</span>, <span itemprop="addressRegion">CA</span> <span itemprop="postalCode">90012</span>
